Date	Time	Position	Area	Country
25.10.2020	1735 UTC	01:15.76N	104:08.65E	Singapore Straits	
27.10.2020	2105 UTC	01:42.5N	101:028.2E	Dumai Anchorage, Indonesia	
25.10.2020	1700 UTC	01:14.8N	104:07.5E	Singapore Straits	
25.10.2020	1515 UTC	01:15.0N	104:05.8E	Singapore Straits	
26.10.2020	0125 UTC	08:44.43S	013:17.75E	Luanda Anchorage, Angola	
19.10.2020	0107 UTC	04:46.50S	011:45.55E	Pointe Noire Anchorage, The Congo	
15.10.2020	2340 UTC	09:22.4N	013:44.2W	Conakry Anchorage, Guinea	
17.10.2020	2055 UTC	04:16.19N	001:24.31E	Around 112nm SSE of Lome, Togo	
05.10.2020	0815 UTC	18:39N	072:37W	Around 5.4nm NNW of La Salle, Haiti.Three armed robbers boarded a drifting bulk carrier and stole ship's stores	
17.10.2020	0534 UTC	03:46.96N	008:41.88E	LNG Terminal, Punta Europa, Equatorial Guinea	
